timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/20 04:15:14.205, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 247 MiB, 32760 MiB
2026/04/20 04:15:19.206, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 250 MiB, 32760 MiB
2026/04/20 04:15:24.207, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:15:29.208, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:15:34.209, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:15:39.210, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:15:44.210, 0, NVIDIA RTX 5000 Ada Generation, 66 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:15:49.211, 0, NVIDIA RTX 5000 Ada Generation, 23 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:15:54.212, 0, NVIDIA RTX 5000 Ada Generation, 4 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:15:59.213, 0, NVIDIA RTX 5000 Ada Generation, 1 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:04.214, 0, NVIDIA RTX 5000 Ada Generation, 46 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:09.215, 0, NVIDIA RTX 5000 Ada Generation, 23 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:14.216, 0, NVIDIA RTX 5000 Ada Generation, 14 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:19.217, 0, NVIDIA RTX 5000 Ada Generation, 62 %, 1 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:24.218, 0, NVIDIA RTX 5000 Ada Generation, 61 %, 1 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:29.218, 0, NVIDIA RTX 5000 Ada Generation, 29 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:34.220, 0, NVIDIA RTX 5000 Ada Generation, 23 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:39.221, 0, NVIDIA RTX 5000 Ada Generation, 36 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:44.222, 0, NVIDIA RTX 5000 Ada Generation, 14 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:49.222, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:54.223, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 20109 MiB, 32760 MiB
2026/04/20 04:16:59.224, 0, NVIDIA RTX 5000 Ada Generation, 89 %, 0 %, 20207 MiB, 32760 MiB
2026/04/20 04:17:04.225, 0, NVIDIA RTX 5000 Ada Generation, 2 %, 2 %, 9403 MiB, 32760 MiB
2026/04/20 04:17:09.226, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 12585 MiB, 32760 MiB
2026/04/20 04:17:14.227, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 13785 MiB, 32760 MiB
2026/04/20 04:17:19.228, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 13785 MiB, 32760 MiB
2026/04/20 04:17:24.229, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 13785 MiB, 32760 MiB
2026/04/20 04:17:29.230, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 18255 MiB, 32760 MiB
2026/04/20 04:17:34.231, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 8 %, 18547 MiB, 32760 MiB
2026/04/20 04:17:39.232, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 18727 MiB, 32760 MiB
2026/04/20 04:17:44.233, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19165 MiB, 32760 MiB
2026/04/20 04:17:49.234, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19165 MiB, 32760 MiB
2026/04/20 04:17:54.235, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19165 MiB, 32760 MiB
2026/04/20 04:17:59.236, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19165 MiB, 32760 MiB
2026/04/20 04:18:04.237, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:09.238, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 8 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:14.239, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:19.240, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:24.241, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:29.242, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:34.243, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:39.244, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:44.245, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 5 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:49.246, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:54.247, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:18:59.248, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 10 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:04.249, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:09.250, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:14.251, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:19.252, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:24.253, 0, NVIDIA RTX 5000 Ada Generation, 82 %, 5 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:29.254, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:34.255, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:39.256, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:44.256, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:49.257, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:54.259, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 2 %, 19177 MiB, 32760 MiB
2026/04/20 04:19:59.260, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 5 %, 19177 MiB, 32760 MiB
2026/04/20 04:20:04.261, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19177 MiB, 32760 MiB
2026/04/20 04:20:09.262, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 5 %, 19177 MiB, 32760 MiB
2026/04/20 04:20:14.263, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 19177 MiB, 32760 MiB
2026/04/20 04:20:19.263, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 5 %, 19177 MiB, 32760 MiB
