line_no,step,epoch,loss,learning_rate,approx_samples_seen
39,1,0.01,4.9317,5.2631578947368424e-05,16
48,2,0.02,1.9751,0.00010526315789473685,32
57,3,0.02,1.5125,0.00015789473684210527,48
66,4,0.03,1.3305,0.00019999865623437013,64
75,5,0.04,1.2568,0.00019995162822919883,80
84,6,0.05,1.3007,0.00019983744805229296,96
93,7,0.06,1.2564,0.0001996561924152278,112
102,8,0.06,1.2515,0.00019940798309400526,128
111,9,0.07,1.2534,0.00019909298684723904,144
120,10,0.08,1.2084,0.00019871141530411853,160
129,11,0.09,1.2191,0.00019826352482222638,176
138,12,0.1,1.1933,0.00019774961631530545,192
147,13,0.1,1.1719,0.00019717003505109095,208
156,14,0.11,1.1406,0.00019652517041934356,224
165,15,0.12,1.2144,0.000195815455670239,240
174,16,0.13,1.1969,0.00019504136762329047,256
183,17,0.14,1.2026,0.0001942034263469989,272
192,18,0.14,1.2154,0.00019330219480944694,288
201,19,0.15,1.1888,0.00019233827850007027,304
210,20,0.16,1.216,0.00019131232502286188,320
219,21,0.17,1.1429,0.00019022502366128135,336
228,22,0.18,1.1828,0.00018907710491516199,352
237,23,0.18,1.1725,0.00018786934000992688,368
246,24,0.19,1.1819,0.00018660254037844388,384
255,25,0.2,1.1539,0.00018527755711586678,400
264,26,0.21,1.1799,0.00018389528040783012,416
273,27,0.22,1.1743,0.00018245663893238075,432
282,28,0.22,1.1852,0.0001809625992360485,448
291,29,0.23,1.234,0.00017941416508447536,464
300,30,0.24,1.1896,0.00017781237678803847,480
309,31,0.25,1.1841,0.0001761583105029213,496
318,32,0.26,1.1662,0.0001744530775081015,512
327,33,0.26,1.1142,0.00017269782345874203,528
336,34,0.27,1.1699,0.00017089372761648616,544
345,35,0.28,1.1399,0.0001690420020571747,560
354,36,0.29,1.1256,0.0001671438908565167,576
363,37,0.3,1.164,0.00016520066925426144,592
372,38,0.3,1.1366,0.00016321364279743266,608
381,39,0.31,1.1465,0.0001611841464632011,624
390,40,0.32,1.1539,0.0001591135437619847,640
399,41,0.33,1.1884,0.00015700322582137827,656
408,42,0.34,1.1365,0.0001548546104515294,672
417,43,0.34,1.1573,0.000152669141192587,688
426,44,0.35,1.1242,0.000150448286344864,704
435,45,0.36,1.1714,0.00014819353798236427,720
444,46,0.37,1.1112,0.00014590641095033787,736
453,47,0.38,1.1311,0.00014358844184753712,752
462,48,0.38,1.1079,0.00014124118799385796,768
471,49,0.39,1.1645,0.00013886622638405952,784
480,50,0.4,1.1918,0.00013646515262826552,800
489,51,0.41,1.1431,0.00013403957987995882,816
498,52,0.42,1.107,0.00013159113775218964,832
507,53,0.42,1.1491,0.00012912147122272523,848
516,54,0.43,1.1488,0.00012663223952887723,864
525,55,0.44,1.142,0.00012412511505274844,880
534,56,0.45,1.1558,0.00012160178219764837,896
543,57,0.46,1.1631,0.00011906393625643244,912
552,58,0.46,1.1091,0.00011651328227252517,928
561,59,0.47,1.1495,0.00011395153389439233,944
570,60,0.48,1.1335,0.00011138041222423177,960
579,61,0.49,1.1911,0.00010880164466165674,976
588,62,0.5,1.1147,0.00010621696374314807,992
597,63,0.5,1.2007,0.00010362810597805526,1008
606,64,0.51,1.1434,0.00010103681068192845,1024
615,65,0.52,1.1145,9.844481880796491e-05,1040
624,66,0.53,1.1251,9.585387177735547e-05,1056
633,67,0.54,1.1668,9.326571030931637e-05,1072
642,68,0.54,1.1333,9.068207325159284e-05,1088
651,69,0.55,1.0846,8.810469641222001e-05,1104
660,70,0.56,1.1261,8.553531139332582e-05,1120
669,71,0.57,1.165,8.297564442776014e-05,1136
678,72,0.58,1.1506,8.042741521933071e-05,1152
687,73,0.58,1.153,7.789233578742582e-05,1168
696,74,0.59,1.1093,7.537210931679987e-05,1184
705,75,0.6,1.1213,7.286842901329412e-05,1200
714,76,0.61,1.1353,7.038297696626206e-05,1216
723,77,0.62,1.1425,6.791742301846326e-05,1232
732,78,0.62,1.127,6.547342364418481e-05,1248
741,79,0.63,1.111,6.305262083634488e-05,1264
750,80,0.64,1.1408,6.065664100332478e-05,1280
759,81,0.65,1.1082,5.828709387627218e-05,1296
768,82,0.66,1.1513,5.5945571427608526e-05,1312
777,83,0.66,1.1341,5.363364680146725e-05,1328
786,84,0.67,1.164,5.135287325678271e-05,1344
795,85,0.68,1.1009,4.9104783123737566e-05,1360
804,86,0.69,1.0979,4.689088677427249e-05,1376
813,87,0.7,1.1544,4.471267160734731e-05,1392
822,88,0.7,1.1064,4.257160104963696e-05,1408
831,89,0.71,1.0988,4.046911357233343e-05,1424
840,90,0.72,1.1243,3.840662172471315e-05,1440
849,91,0.73,1.1781,3.638551118512089e-05,1456
858,92,0.74,1.1551,3.440713983000601e-05,1472
867,93,0.74,1.1024,3.2472836821637744e-05,1488
876,94,0.75,1.1268,3.058390171511196e-05,1504
885,95,0.76,1.1414,2.874160358524931e-05,1520
894,96,0.77,1.0795,2.6947180173971508e-05,1536
903,97,0.78,1.1365,2.5201837058728505e-05,1552
912,98,0.78,1.1591,2.3506746842535242e-05,1568
921,99,0.79,1.1246,2.1863048366162208e-05,1584
930,100,0.8,1.1235,2.027184594300898e-05,1600
939,101,0.81,1.1451,1.8734208617174988e-05,1616
948,102,0.82,1.1357,1.7251169445225657e-05,1632
957,103,0.82,1.0852,1.5823724802136865e-05,1648
966,104,0.83,1.1264,1.4452833711883628e-05,1664
975,105,0.84,1.1537,1.3139417203123027e-05,1680
984,106,0.85,1.1257,1.1884357690404158e-05,1696
993,107,0.86,1.1269,1.0688498381320855e-05,1712
1002,108,0.86,1.1154,9.552642710005299e-06,1728
1011,109,0.87,1.1106,8.47755379734373e-06,1744
1020,110,0.88,1.1378,7.463953938275858e-06,1760
1029,111,0.89,1.1333,6.512524116523633e-06,1776
1038,112,0.9,1.0722,5.623903547074549e-06,1792
1047,113,0.9,1.1156,4.798689246727006e-06,1808
1056,114,0.91,1.1343,4.037435632986786e-06,1824
1065,115,0.92,1.1568,3.3406541515832003e-06,1840
1074,116,0.93,1.1176,2.708812932856253e-06,1856
1083,117,0.94,1.1284,2.1423364772445887e-06,1872
1092,118,0.94,1.1279,1.6416053700863964e-06,1888
1101,119,0.95,1.1117,1.2069560259243328e-06,1904
1110,120,0.96,1.1114,8.386804624865851e-07,1920
1119,121,0.97,1.1526,5.370261044956971e-07,1936
1128,122,0.98,1.1343,3.0219561743707326e-07,1952
1137,123,0.98,1.1125,1.3434677139885222e-07,1968
1146,124,0.99,1.0964,3.359233507459481e-08,1984
1155,125,1.0,1.154,0.0,2000
