timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/20 04:15:15.295, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 193 MiB, 32760 MiB
2026/04/20 04:15:20.296, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 895 MiB, 32760 MiB
2026/04/20 04:15:25.297, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 19563 MiB, 32760 MiB
2026/04/20 04:15:30.298, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 19563 MiB, 32760 MiB
2026/04/20 04:15:35.299, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 19563 MiB, 32760 MiB
2026/04/20 04:15:40.300, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 19563 MiB, 32760 MiB
2026/04/20 04:15:45.301, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 26333 MiB, 32760 MiB
2026/04/20 04:15:50.306, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 29723 MiB, 32760 MiB
2026/04/20 04:15:55.307, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:00.308, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:05.309, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:10.310, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:15.311, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:20.312, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:25.313, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:30.314, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 2 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:35.315, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:40.316, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 2 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:45.316, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:50.317, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 1 %, 30223 MiB, 32760 MiB
2026/04/20 04:16:55.318, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 0 %, 30223 MiB, 32760 MiB
2026/04/20 04:17:00.319, 0, NVIDIA RTX 5000 Ada Generation, 99 %, 2 %, 30321 MiB, 32760 MiB
2026/04/20 04:17:05.320, 0, NVIDIA RTX 5000 Ada Generation, 76 %, 2 %, 12243 MiB, 32760 MiB
2026/04/20 04:17:10.321, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 3 %, 12583 MiB, 32760 MiB
2026/04/20 04:17:15.322, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 13701 MiB, 32760 MiB
2026/04/20 04:17:20.323, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 5 %, 13701 MiB, 32760 MiB
2026/04/20 04:17:25.324, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 16651 MiB, 32760 MiB
2026/04/20 04:17:30.325, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 18769 MiB, 32760 MiB
2026/04/20 04:17:35.326, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 8 %, 19059 MiB, 32760 MiB
2026/04/20 04:17:40.327, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19059 MiB, 32760 MiB
2026/04/20 04:17:45.328, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19121 MiB, 32760 MiB
2026/04/20 04:17:50.329, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 5 %, 19121 MiB, 32760 MiB
2026/04/20 04:17:55.330, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 7 %, 19121 MiB, 32760 MiB
2026/04/20 04:18:00.331, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 6 %, 19121 MiB, 32760 MiB
2026/04/20 04:18:05.332, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 5 %, 19121 MiB, 32760 MiB
2026/04/20 04:18:10.333, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 7 %, 19121 MiB, 32760 MiB
2026/04/20 04:18:15.333, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19121 MiB, 32760 MiB
2026/04/20 04:18:20.334, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 7 %, 19121 MiB, 32760 MiB
2026/04/20 04:18:25.335, 0, NVIDIA RTX 5000 Ada Generation, 100 %, 4 %, 19121 MiB, 32760 MiB
