timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/21 03:58:40.877, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2077 MiB, 32760 MiB
2026/04/21 03:58:45.878, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2077 MiB, 32760 MiB
2026/04/21 03:58:50.880, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2077 MiB, 32760 MiB
2026/04/21 03:58:55.881, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:00.882, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:05.882, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:10.883, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:15.884, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:20.885, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:25.886, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:30.888, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:35.888, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:40.889, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:45.890, 0, NVIDIA RTX 5000 Ada Generation, 0 %, 0 %, 2076 MiB, 32760 MiB
2026/04/21 03:59:50.891, 0, NVIDIA RTX 5000 Ada Generation, 4 %, 3 %, 2072 MiB, 32760 MiB
2026/04/21 03:59:56.003, 0, NVIDIA RTX 5000 Ada Generation, 4 %, 3 %, 2074 MiB, 32760 MiB
2026/04/21 04:00:01.004, 0, NVIDIA RTX 5000 Ada Generation, 4 %, 3 %, 2074 MiB, 32760 MiB
2026/04/21 04:00:06.005, 0, NVIDIA RTX 5000 Ada Generation, 5 %, 4 %, 2074 MiB, 32760 MiB
2026/04/21 04:00:11.006, 0, NVIDIA RTX 5000 Ada Generation, 4 %, 4 %, 2074 MiB, 32760 MiB
2026/04/21 04:00:16.007, 0, NVIDIA RTX 5000 Ada Generation, 4 %, 4 %, 2074 MiB, 32760 MiB
2026/04/21 04:00:21.008, 0, NVIDIA RTX 5000 Ada Generation, 5 %, 4 %, 2074 MiB, 32760 MiB
2026/04/21 04:00:26.009, 0, NVIDIA RTX 5000 Ada Generation, 5 %, 4 %, 2074 MiB, 32760 MiB
2026/04/21 04:00:31.011, 0, NVIDIA RTX 5000 Ada Generation, 5 %, 4 %, 2074 MiB, 32760 MiB
