line_no,step,epoch,loss,learning_rate,approx_samples_seen
39,1,0.02,4.4887,0.0001,32
48,2,0.03,1.9223,0.0002,64
57,3,0.05,1.3653,0.00019986476224277165,96
66,4,0.06,1.2768,0.00019945941475610623,128
75,5,0.08,1.2462,0.00019878505390570362,160
84,6,0.1,1.2025,0.00019784350367254322,192
93,7,0.11,1.1534,0.00019663731071946206,224
102,8,0.13,1.2044,0.00019516973750305532,256
111,9,0.14,1.2034,0.00019344475344953012,288
120,10,0.16,1.1924,0.0001914670242183795,320
129,11,0.18,1.1521,0.000189241899082916,352
138,12,0.19,1.1616,0.00018677539646179707,384
147,13,0.21,1.1586,0.00018407418764067627,416
156,14,0.22,1.1698,0.00018114557872800905,448
165,15,0.24,1.1927,0.0001779974908938184,480
174,16,0.26,1.1484,0.00017463843894486937,512
183,17,0.27,1.13,0.00017107750829420176,544
192,18,0.29,1.1155,0.00016732433038731242,576
201,19,0.3,1.1351,0.0001633890566514535,608
210,20,0.32,1.1337,0.0001592823310385073,640
219,21,0.34,1.144,0.00015501526123570277,672
228,22,0.35,1.13,0.00015059938862204127,704
237,23,0.37,1.1273,0.00014604665705169237,736
246,24,0.38,1.1024,0.00014136938054879283,768
255,25,0.4,1.1582,0.00013658021000102636,800
264,26,0.42,1.1119,0.0001316920989420703,832
273,27,0.43,1.1327,0.00012671826851545851,864
282,28,0.45,1.1372,0.00012167217171462566,896
291,29,0.46,1.1276,0.00011656745699585371,928
300,30,0.48,1.1265,0.00011141793136253986,960
309,31,0.5,1.138,0.00010623752302063283,992
318,32,0.51,1.1571,0.00010104024370624644,1024
327,33,0.53,1.1007,9.584015078734395e-05,1056
336,34,0.54,1.1343,9.065130924199998e-05,1088
345,35,0.56,1.0908,8.548775361607872e-05,1120
354,36,0.58,1.1361,8.036345006322359e-05,1152
363,37,0.59,1.1276,7.52922585698315e-05,1184
372,38,0.61,1.1162,7.028789546718326e-05,1216
381,39,0.62,1.1195,6.536389633212609e-05,1248
390,40,0.64,1.1092,6.053357937665237e-05,1280
399,41,0.66,1.1149,5.5810009425397294e-05,1312
408,42,0.67,1.1341,5.1205962578487155e-05,1344
417,43,0.69,1.0874,4.673389165531714e-05,1376
426,44,0.7,1.1175,4.240589251272342e-05,1408
435,45,0.72,1.1016,3.823367132865265e-05,1440
444,46,0.74,1.1516,3.422851293981676e-05,1472
453,47,0.75,1.099,3.040125031897264e-05,1504
462,48,0.77,1.0989,2.6762235274383772e-05,1536
471,49,0.78,1.1328,2.3321310450713062e-05,1568
480,50,0.8,1.1126,2.008778270707944e-05,1600
489,51,0.82,1.1289,1.707039794428259e-05,1632
498,52,0.83,1.0885,1.4277317449282834e-05,1664
507,53,0.85,1.1271,1.1716095820918216e-05,1696
516,54,0.86,1.1098,9.393660536564408e-06,1728
525,55,0.88,1.1114,7.3162932150046885e-06,1760
534,56,0.9,1.0969,5.489612626189245e-06,1792
543,57,0.91,1.1204,3.918559493838114e-06,1824
552,58,0.93,1.1235,2.607383131993424e-06,1856
561,59,0.94,1.1208,1.559629951665298e-06,1888
570,60,0.96,1.1013,7.781338686584927e-07,1920
579,61,0.98,1.1377,2.6500863852395584e-07,1952
588,62,0.99,1.0921,2.164213936770576e-08,1984
